category,word,weight,,,
tactile,stream,1.0,,,
tactile,layer,1.0,,,
tactile,upwards,1.0,,,
communal,schools,1.0,,,
communal,male,1.0,,,
communal,community,1.0,,,
communal,church,1.0,,,
communal,young,1.0,,,
communal,society,1.0,,,
communal,interests,1.0,,,
communal,bred,1.0,,,
communal,banker,1.0,,,
communal,family,1.0,,,
communal,respected,1.0,,,
communal,american,1.0,,,
communal,culture,1.0,,,
communal,catholic,1.0,,,
communal,adopted,1.0,,,
communal,whose,1.0,,,
communal,teaching,1.0,,,
communal,african,1.0,,,
communal,among,1.0,,,
communal,educated,1.0,,,
communal,founded,1.0,,,
communal,children,1.0,,,
communal,public,1.0,,,
communal,youth,1.0,,,
communal,politician,1.0,,,
communal,protect,1.0,,,
communal,reputation,1.0,,,
communal,sons,1.0,,,
communal,wealthy,1.0,,,
mental,asleep,1.0,,,
mental,knew,1.0,,,
mental,memories,1.0,,,
mental,overwhelmed,1.0,,,
mental,awake,1.0,,,
mental,anxious,1.0,,,
mental,uneasy,1.0,,,
mental,studying,1.0,,,
mental,moments,1.0,,,
mental,hadn't,1.0,,,
mental,learning,1.0,,,
mental,sadness,1.0,,,
mental,talked,1.0,,,
mental,experiences,1.0,,,
mental,sounded,1.0,,,
mental,confess,1.0,,,
mental,senses,1.0,,,
mental,calm,1.0,,,
mental,fascinating,1.0,,,
mental,thoughts,1.0,,,
mental,answered,1.0,,,
mental,emptiness,1.0,,,
mental,reading,1.0,,,
mental,wake,1.0,,,
mental,dreaming,1.0,,,
mental,listening,1.0,,,
mental,tense,1.0,,,
mental,hearing,1.0,,,
mental,experience,1.0,,,
mental,awe,1.0,,,
mental,reply,1.0,,,
mental,exploring,1.0,,,
mental,replies,1.0,,,
mental,quiet,1.0,,,
mental,solitude,1.0,,,
mental,comforting,1.0,,,
mental,wished,1.0,,,
mental,explore,1.0,,,
mental,happened,1.0,,,
mental,realised,1.0,,,
mental,discuss,1.0,,,
numeric,four,1.0,,,
numeric,quarter,1.0,,,
numeric,pairs,1.0,,,
numeric,set,1.0,,,
numeric,pound,1.0,,,
numeric,pair,1.0,,,
numeric,five,1.0,,,
numeric,maximum,1.0,,,
numeric,extra,1.0,,,
numeric,half,1.0,,,
numeric,drop,1.0,,,
numeric,card,1.0,,,
numeric,pounds,1.0,,,
numeric,cent,1.0,,,
numeric,overhead,1.0,,,
numeric,deck,1.0,,,
numeric,floors,1.0,,,
numeric,three,1.0,,,
numeric,two,1.0,,,
numeric,per,1.0,,,
numeric,stock,1.0,,,
numeric,each,1.0,,,
numeric,top,1.0,,,
numeric,tie,1.0,,,
numeric,shillings,1.0,,,
numeric,purse,1.0,,,
numeric,ten,1.0,,,
numeric,twenty,1.0,,,
numeric,double,1.0,,,
numeric,sold,1.0,,,
numeric,intervals,1.0,,,
numeric,tables,1.0,,,
numeric,smaller,1.0,,,
numeric,six,1.0,,,
emotional,alive,1.0,,,
emotional,nature,1.0,,,
emotional,innocent,1.0,,,
emotional,despised,1.0,,,
emotional,disgrace,1.0,,,
emotional,religion,1.0,,,
emotional,spiritual,1.0,,,
emotional,believes,1.0,,,
emotional,troubled,1.0,,,
emotional,emotion,1.0,,,
emotional,illness,1.0,,,
emotional,influence,1.0,,,
emotional,truth,1.0,,,
emotional,tortured,1.0,,,
emotional,compassion,1.0,,,
emotional,fear,1.0,,,
emotional,deeply,1.0,,,
emotional,speak,1.0,,,
emotional,perceived,1.0,,,
emotional,anger,1.0,,,
emotional,embrace,1.0,,,
emotional,religious,1.0,,,
emotional,emotions,1.0,,,
emotional,weakness,1.0,,,
emotional,human,1.0,,,
emotional,feelings,1.0,,,
emotional,harsh,1.0,,,
emotional,vile,1.0,,,
emotional,profoundly,1.0,,,
emotional,openly,1.0,,,
emotional,remark,1.0,,,
emotional,profound,1.0,,,
emotional,evil,1.0,,,
emotional,admiration,1.0,,,
emotional,believing,1.0,,,
emotional,peaceful,1.0,,,
emotional,christian,1.0,,,
emotional,convinced,1.0,,,
emotional,hatred,1.0,,,
emotional,man's,1.0,,,
emotional,cruel,1.0,,,
emotional,fearful,1.0,,,
emotional,betrayed,1.0,,,
social,child,1.0,,,
social,son,1.0,,,
social,situation,1.0,,,
social,pleaded,1.0,,,
social,marriage,1.0,,,
social,parents,1.0,,,
social,arrest,1.0,,,
social,daughter,1.0,,,
social,victim,1.0,,,
social,husband,1.0,,,
social,informed,1.0,,,
social,charges,1.0,,,
social,charged,1.0,,,
social,suicide,1.0,,,
social,relatives,1.0,,,
social,sheriff,1.0,,,
social,widow,1.0,,,
social,accused,1.0,,,
social,met,1.0,,,
social,arrested,1.0,,,
social,confronted,1.0,,,
social,eldest,1.0,,,
social,father,1.0,,,
social,custody,1.0,,,
social,robbery,1.0,,,
social,pregnant,1.0,,,
social,murder,1.0,,,
social,mother,1.0,,,
social,guilty,1.0,,,
social,confessed,1.0,,,
social,calls,1.0,,,
social,wife,1.0,,,
social,court,1.0,,,
social,whom,1.0,,,
social,stolen,1.0,,,
social,refused,1.0,,,
social,married,1.0,,,
social,murderer,1.0,,,
social,murdered,1.0,,,
social,convicted,1.0,,,
locational,stadium,1.0,,,
locational,visitors,1.0,,,
locational,halls,1.0,,,
locational,company,1.0,,,
locational,shops,1.0,,,
locational,golf,1.0,,,
locational,scenery,1.0,,,
locational,architecture,1.0,,,
locational,rooms,1.0,,,
locational,gardens,1.0,,,
locational,athletic,1.0,,,
locational,lounge,1.0,,,
locational,spacious,1.0,,,
locational,space,1.0,,,
locational,evenings,1.0,,,
locational,building,1.0,,,
locational,houses,1.0,,,
locational,art,1.0,,,
locational,landscape,1.0,,,
locational,fields,1.0,,,
locational,sporting,1.0,,,
locational,shopping,1.0,,,
locational,arts,1.0,,,
locational,purchased,1.0,,,
locational,annual,1.0,,,
locational,national,1.0,,,
locational,center,1.0,,,
locational,stores,1.0,,,
locational,pools,1.0,,,
locational,campus,1.0,,,
locational,facilities,1.0,,,
locational,sports,1.0,,,
locational,activities,1.0,,,
locational,design,1.0,,,
locational,uniforms,1.0,,,
locational,clubhouse,1.0,,,
locational,teams,1.0,,,
locational,local,1.0,,,
